diagram_id,page,segment,num_models,cuts_agreement,cuts_values,lines_agreement,lines_values,spots_agreement,spots_values
D._Logic__hou02614c00458__seq617.jpg_2,D._Logic__hou02614c00458__seq617.jpg,2,3,True,"Claude Sonnet 4.5: 1, Gemini 3 Pro: 1, Qwen 2.5 VL 72B: 1",True,"Claude Sonnet 4.5: 1, Gemini 3 Pro: 1, Qwen 2.5 VL 72B: 1",True,"Claude Sonnet 4.5: 2, Gemini 3 Pro: 2, Qwen 2.5 VL 72B: 2"
D._Logic__hou02614c00458__seq617.jpg_4,D._Logic__hou02614c00458__seq617.jpg,4,4,True,"Claude Sonnet 4.5: 1, Gemini 3 Pro: 1, Gemma 3 27B: 1, Qwen 2.5 VL 72B: 1",False,"Claude Sonnet 4.5: 1, Gemini 3 Pro: 2, Gemma 3 27B: 4, Qwen 2.5 VL 72B: 2",True,"Claude Sonnet 4.5: 2, Gemini 3 Pro: 2, Gemma 3 27B: 2, Qwen 2.5 VL 72B: 2"
D._Logic__hou02614c00458__seq621.jpg_0,D._Logic__hou02614c00458__seq621.jpg,0,4,True,"Claude Sonnet 4.5: 1, Gemini 3 Pro: 1, Gemma 3 27B: 1, Qwen 2.5 VL 72B: 1",False,"Claude Sonnet 4.5: 1, Gemini 3 Pro: 1, Gemma 3 27B: 2, Qwen 2.5 VL 72B: 1",False,"Claude Sonnet 4.5: 1, Gemini 3 Pro: 2, Gemma 3 27B: 1, Qwen 2.5 VL 72B: 2"
D._Logic__hou02614c00458__seq621.jpg_1,D._Logic__hou02614c00458__seq621.jpg,1,3,False,"Claude Sonnet 4.5: 3, Gemini 3 Pro: 2, Gemma 3 27B: 3",False,"Claude Sonnet 4.5: 1, Gemini 3 Pro: 1, Gemma 3 27B: 3",False,"Claude Sonnet 4.5: 2, Gemini 3 Pro: 4, Gemma 3 27B: 3"
D._Logic__hou02614c00458__seq621.jpg_2,D._Logic__hou02614c00458__seq621.jpg,2,3,False,"Claude Sonnet 4.5: 1, Gemini 3 Pro: 2, Qwen 2.5 VL 72B: 2",False,"Claude Sonnet 4.5: 1, Gemini 3 Pro: 3, Qwen 2.5 VL 72B: 1",False,"Claude Sonnet 4.5: 1, Gemini 3 Pro: 3, Qwen 2.5 VL 72B: 3"
D._Logic__hou02614c00458__seq621.jpg_3,D._Logic__hou02614c00458__seq621.jpg,3,4,False,"Claude Sonnet 4.5: 1, Gemini 3 Pro: 1, Gemma 3 27B: 2, Qwen 2.5 VL 72B: 1",True,"Claude Sonnet 4.5: 1, Gemini 3 Pro: 1, Gemma 3 27B: 1, Qwen 2.5 VL 72B: 1",False,"Claude Sonnet 4.5: 2, Gemini 3 Pro: 3, Gemma 3 27B: 2, Qwen 2.5 VL 72B: 2"
D._Logic__hou02614c00458__seq621.jpg_4,D._Logic__hou02614c00458__seq621.jpg,4,3,True,"Claude Sonnet 4.5: 1, Gemma 3 27B: 1, Qwen 2.5 VL 72B: 1",False,"Claude Sonnet 4.5: 1, Gemma 3 27B: 2, Qwen 2.5 VL 72B: 2",False,"Claude Sonnet 4.5: 2, Gemma 3 27B: 3, Qwen 2.5 VL 72B: 3"
D._Logic__hou02614c00458__seq621.jpg_5,D._Logic__hou02614c00458__seq621.jpg,5,3,False,"Claude Sonnet 4.5: 2, Gemini 3 Pro: 2, Qwen 2.5 VL 72B: 1",False,"Claude Sonnet 4.5: 1, Gemini 3 Pro: 2, Qwen 2.5 VL 72B: 2",False,"Claude Sonnet 4.5: 1, Gemini 3 Pro: 3, Qwen 2.5 VL 72B: 3"
D._Logic__hou02614c00458__seq625.jpg_0,D._Logic__hou02614c00458__seq625.jpg,0,3,False,"Claude Sonnet 4.5: 2, Gemini 3 Pro: 4, Gemma 3 27B: 2",True,"Claude Sonnet 4.5: 2, Gemini 3 Pro: 2, Gemma 3 27B: 2",True,"Claude Sonnet 4.5: 4, Gemini 3 Pro: 4, Gemma 3 27B: 4"
D._Logic__hou02614c00458__seq625.jpg_1,D._Logic__hou02614c00458__seq625.jpg,1,4,False,"Claude Sonnet 4.5: 4, Gemini 3 Pro: 4, Gemma 3 27B: 3, Qwen 2.5 VL 72B: 4",False,"Claude Sonnet 4.5: 1, Gemini 3 Pro: 3, Gemma 3 27B: 4, Qwen 2.5 VL 72B: 3",False,"Claude Sonnet 4.5: 5, Gemini 3 Pro: 7, Gemma 3 27B: 5, Qwen 2.5 VL 72B: 6"
D._Logic__hou02614c00458__seq625.jpg_2,D._Logic__hou02614c00458__seq625.jpg,2,4,False,"Claude Sonnet 4.5: 4, Gemini 3 Pro: 4, Gemma 3 27B: 3, Qwen 2.5 VL 72B: 2",False,"Claude Sonnet 4.5: 1, Gemini 3 Pro: 3, Gemma 3 27B: 4, Qwen 2.5 VL 72B: 3",False,"Claude Sonnet 4.5: 3, Gemini 3 Pro: 5, Gemma 3 27B: 4, Qwen 2.5 VL 72B: 4"
D._Logic__hou02614c00458__seq625.jpg_3,D._Logic__hou02614c00458__seq625.jpg,3,4,True,"Claude Sonnet 4.5: 2, Gemini 3 Pro: 2, Gemma 3 27B: 2, Qwen 2.5 VL 72B: 2",False,"Claude Sonnet 4.5: 1, Gemini 3 Pro: 1, Gemma 3 27B: 2, Qwen 2.5 VL 72B: 1",False,"Claude Sonnet 4.5: 2, Gemini 3 Pro: 3, Gemma 3 27B: 2, Qwen 2.5 VL 72B: 2"
D._Logic__hou02614c00458__seq625.jpg_4,D._Logic__hou02614c00458__seq625.jpg,4,3,False,"Claude Sonnet 4.5: 3, Gemma 3 27B: 1, Qwen 2.5 VL 72B: 1",False,"Claude Sonnet 4.5: 1, Gemma 3 27B: 3, Qwen 2.5 VL 72B: 2",False,"Claude Sonnet 4.5: 4, Gemma 3 27B: 3, Qwen 2.5 VL 72B: 4"
D._Logic__hou02614c00458__seq625.jpg_5,D._Logic__hou02614c00458__seq625.jpg,5,3,False,"Claude Sonnet 4.5: 2, Gemini 3 Pro: 2, Gemma 3 27B: 1",False,"Claude Sonnet 4.5: 1, Gemini 3 Pro: 1, Gemma 3 27B: 2",False,"Claude Sonnet 4.5: 2, Gemini 3 Pro: 3, Gemma 3 27B: 2"
D._Logic__hou02614c00458__seq625.jpg_6,D._Logic__hou02614c00458__seq625.jpg,6,4,False,"Claude Sonnet 4.5: 2, Gemini 3 Pro: 2, Gemma 3 27B: 1, Qwen 2.5 VL 72B: 2",False,"Claude Sonnet 4.5: 1, Gemini 3 Pro: 1, Gemma 3 27B: 2, Qwen 2.5 VL 72B: 1",False,"Claude Sonnet 4.5: 3, Gemini 3 Pro: 3, Gemma 3 27B: 2, Qwen 2.5 VL 72B: 2"
D._Logic__hou02614c00458__seq625.jpg_7,D._Logic__hou02614c00458__seq625.jpg,7,3,True,"Claude Sonnet 4.5: 1, Gemma 3 27B: 1, Qwen 2.5 VL 72B: 1",True,"Claude Sonnet 4.5: 1, Gemma 3 27B: 1, Qwen 2.5 VL 72B: 1",True,"Claude Sonnet 4.5: 1, Gemma 3 27B: 1, Qwen 2.5 VL 72B: 1"
D._Logic__hou02614c00458__seq625.jpg_9,D._Logic__hou02614c00458__seq625.jpg,9,3,True,"Claude Sonnet 4.5: 1, Gemma 3 27B: 1, Qwen 2.5 VL 72B: 1",False,"Claude Sonnet 4.5: 1, Gemma 3 27B: 1, Qwen 2.5 VL 72B: 2",True,"Claude Sonnet 4.5: 1, Gemma 3 27B: 1, Qwen 2.5 VL 72B: 1"
